id P0_x P0_y P1_x P1_y P2_x P2_y P3_x P3_y
E48 -36.32 50.50 -36.29 55.78 -34.07 55.75 -34.10 50.49
E49 -33.94 50.51 -33.90 55.79 -31.68 55.76 -31.67 50.51
E50 -25.39 49.80 -25.39 54.71 -23.27 54.87 -23.18 49.75
E51 -21.84 50.57 -21.84 55.84 -19.69 55.79 -19.63 50.58
E52 -19.49 50.58 -19.52 55.81 -17.29 55.81 -17.28 50.58
E53 -17.13 50.56 -17.11 55.85 -14.87 55.84 -14.86 50.57
E54 -13.48 50.58 -13.48 55.87 -11.22 55.87 -11.26 50.60
E55 -11.12 50.55 -11.09 55.83 -8.85 55.83 -8.88 50.55
E56 -8.70 50.61 -8.70 55.88 -6.46 55.87 -6.49 50.59
E57 -5.13 50.60 -5.10 55.88 -2.85 55.86 -2.88 50.60
E58 -2.72 50.62 -2.70 55.89 -0.45 55.89 -0.49 50.62
E59 -0.33 50.60 -0.28 55.89 1.95 55.88 1.91 50.63
F01 14.60 51.31 14.64 56.46 12.38 56.46 12.38 51.29
F02 17.00 51.30 17.05 56.44 14.79 56.44 14.77 51.30
F03 20.60 51.30 20.63 56.43 18.39 56.44 18.38 51.29
F04 23.00 51.33 23.10 56.42 20.83 56.44 20.79 51.31
F05 25.45 51.30 25.56 56.42 23.29 56.43 23.19 51.28
F06 29.06 51.30 29.16 56.42 26.89 56.41 26.79 51.30
F07 31.44 51.27 31.55 56.40 29.30 56.41 29.18 51.26
F08 33.87 51.27 33.99 56.41 31.74 56.41 31.61 51.28
F09 37.45 51.25 37.51 56.40 35.25 56.39 35.18 51.25
F10 37.59 51.23 37.65 56.40 39.88 56.39 39.84 51.23
F11 40.01 51.23 40.07 56.40 42.30 56.38 42.26 51.24
F12 43.60 51.22 43.66 56.38 45.87 56.39 45.84 51.23
F13 46.01 51.22 46.06 56.38 48.29 56.38 48.26 51.23
F14 48.40 51.25 48.46 56.38 50.68 56.38 50.65 51.27
F15 51.95 51.20 51.99 56.37 54.22 56.37 54.20 51.22
F16 54.33 51.22 54.40 56.35 56.60 56.36 56.59 51.23
F17 56.75 51.24 56.80 56.36 59.08 56.36 59.00 51.08
F18 60.40 48.43 65.78 48.41 65.79 46.15 60.42 46.17
F19 60.42 46.02 65.75 46.00 65.76 43.74 60.45 43.76
F20 60.32 33.87 65.64 33.85 65.65 31.57 60.30 31.64
F21 60.31 31.50 65.63 31.48 65.64 29.20 60.31 29.25
F22 60.32 29.10 65.65 29.07 65.65 26.79 60.31 26.83
F23 60.30 25.50 65.64 25.48 65.64 23.19 60.29 23.24
F24 60.28 23.09 65.60 23.07 65.61 20.79 60.25 20.82
F25 60.27 20.71 65.60 20.69 65.61 18.41 60.25 18.44
F26 52.63 20.71 47.28 20.73 47.26 18.47 52.63 18.44
F27 52.65 23.10 47.31 23.12 47.29 20.85 52.66 20.83
F28 52.67 25.51 47.32 25.53 47.31 23.27 52.67 23.24
F29 52.69 29.09 47.34 29.09 47.33 26.85 52.67 26.84
F30 52.69 31.49 47.37 31.50 47.34 29.26 52.67 29.24
F31 52.71 33.88 47.35 33.90 47.36 31.66 52.69 31.63
